id,climate,energy,environment,resources,sustainability,dedicated,total
CDTI,1,1,1,0,1,1,1
GCU,0,3,1,0,5,0,7
GMA,0,2,1,0,2,0,3
GPM,0,3,1,0,2,1,4
filiere-classique-stpi,0,4,0,0,2,2,4
EII,0,2,1,0,2,0,3
ET,0,1,1,0,2,0,2
MA,0,1,1,0,2,0,2
INFO,0,1,1,0,2,0,2
