id,climate,energy,environment,resources,sustainability,dedicated
H-22-APS-STPI,0,0,0,0,0,0
H-22-COM-STPI,0,0,0,0,0,0
H-22-ANG-CULT-STPI,0,0,0,0,0,0
H-22-ESP-Deb-STPI,0,0,0,0,0,0
H-22-ALL-DEB-STPI,0,0,0,0,0,0
H-22-ALL-ENERG-STPI,0,0,0,0,0,0
H-122-ESP-STPI-LV3,0,0,0,0,0,0
H-122-ITA-STPI-LV3,0,0,0,0,0,0
H-122-PORT-STPI-LV3,0,0,0,0,0,0
H-122-SAPE-ECAO,0,0,0,0,0,0
H-122-SDE-ECAO,0,0,0,0,0,0
H-122-SME-CHOR-ECAO,0,0,0,0,0,0
H-122-SME-ORCH-ECAO,0,0,0,0,0,0
H-122-STE-SPECT-ECAO,0,0,0,0,0,0
H-122-STE-INIT-ECAO,0,0,0,0,0,0
H-122-SIE-CGC-ECAO,0,0,0,0,0,0
H-122-SIE-VIDEO-STPI,0,0,0,0,0,0
H-122-VEE-ECAO,0,0,0,0,0,0
H-122-STE-JOUER-ECAO,0,0,0,0,0,0
H-122-ANG-REM-ECAO,0,0,0,0,0,0
H-122-CHI-STPI-LV3,0,0,0,0,0,0
H-122-SME-MUSI-ECAO,0,0,0,0,0,0
H-2342-FLE-THEM-ECAO,0,0,0,0,0,0
PF-NI31 B1_SM1,0,0,0,0,0,0
PF-NI31 B1_SM2,0,0,0,0,0,0
PF-NI31 B1_SM3,0,0,0,0,0,0
PF-NI31 B1_SM4,0,0,0,0,0,0
PF-NI31 B1_SM5,0,0,0,0,0,0
PF-NI31 B2_SMMA1,0,0,0,0,0,0
PF-II31-MSI,0,0,0,0,0,0
PF-ISP32-NUC1,0,0,0,0,0,0
PF-E31-TP1A1,0,0,0,0,0,0
PF-NI31 B2_SMMA2,0,0,0,0,0,0
PF-NI31 B2_SMMA3,0,0,0,0,0,0
PF-NI31 B2_SMMA4,0,0,0,0,0,0
PF-NI31 B2_SMMA5,0,0,0,0,0,0
PF-NI31 B5_SMMA1,0,0,0,0,0,0
PF-NI31 B7_SMMA1,0,0,0,0,0,0
PF-NI31 EXPE,0,0,0,0,0,0
PF-II31-CAO1,0,0,0,0,0,0
PF-II31-RMAT,0,0,0,0,0,0
PF-II31-PFA,0,0,0,0,0,0
PF-II31-PCM,0,0,0,0,0,0
PF-ISP31-BESST,0,0,0,0,0,0
PF-ISP31-SARI1,0,0,0,0,0,0
PF-ISP31-HSE,0,0,0,0,0,0
PF-ISP31-SPC,0,0,0,0,0,0
PF-ISP31-MF1,0,0,0,0,0,0
PF-E31-MF1,0,0,0,0,0,0
PF-E31-THERMO1,0,0,0,0,0,0
PF-E31-MF2,0,0,0,0,0,0
PF-E31-TFT1,0,0,0,0,0,0
PF-E31-STRUCT1,0,0,0,0,0,0
PF-NI32 B1_SM6,0,0,0,0,0,0
PF-NI32 B1_SM7,0,0,0,0,0,0
PF-NI32 B1_SM9,0,0,0,0,0,0
PF-NI32 B1_SM10,0,0,0,0,0,0
PF-NI32 B2_SMMA6,0,0,0,0,0,0
PF-II31-GPROJ,0,0,0,0,0,0
PF-II31-AMC,0,0,0,0,0,0
PF-II31-MSP,0,0,0,0,0,0
PF-II31-GRI,0,0,0,0,0,0
PF-II31-MATH1,0,0,0,0,0,0
PF-II31-INFO,0,0,0,0,0,0
PF-II31-MATH2,0,0,0,0,0,0
PF-II31-ANG,0,0,0,0,0,0
H-31-GP-MECA,0,0,0,0,0,0
PF-ISP31-BIL,0,0,0,0,0,0
PF-ISP31-OU1,0,0,0,0,0,0
PF-ISP31-TT1,0,0,0,0,0,0
PF-ISP31-MATH1,0,0,0,0,0,0
PF-E31-MATCO,0,0,0,0,0,0
PF-E31-CDAO,0,0,0,0,0,0
PF-E31-MATH,0,0,0,0,0,0
PF-NI32 B2_MA2,0,0,0,0,0,0
PF-NI32 B2_MA1,0,0,0,0,0,0
PF-NI32 B2_SM1,0,0,0,0,0,0
PF-NI32 B2_SM2,0,0,0,0,0,0
PF-NI32 B2_SMMA7,0,0,0,0,0,0
PF-NI32 B4_SMMA1,0,0,0,0,0,0
PF-NI32 B5_SMMA4,0,0,0,0,0,0
PF-NI32 B6-SMMA1,0,0,0,0,0,0
PF-II31-GSF1,0,0,0,0,0,0
PF-II31-ANGR,0,0,0,0,0,0
PF-II31-GSF2,0,0,0,0,0,0
PF-II31-APS,0,0,0,0,0,0
PF-II31-CRI,0,0,0,0,0,0
PF-II31-48H,0,0,0,0,0,0
PF-II31-INDIV,0,0,0,0,0,0
H-31-ANG-MECA,0,0,0,0,0,0
H-31-APS-MECA,0,0,0,0,0,0
H-31-GSF-MECA,0,0,0,0,0,0
MECA3451-CONF,0,0,0,0,0,0
H-31-ESP-DPT-DEB,0,0,0,0,0,0
H-31-ALL-EP-MECA,0,0,0,0,0,0
H-31-ESP-MECA,0,0,0,0,0,0
H-31-FLE-EP-MECA,0,0,0,0,0,0
H-3451-ALL-DEB1,0,0,0,0,0,0
H-3451-ALL-DEB2,0,0,0,0,0,0
H3451-SDE-ECAO,0,0,0,0,0,0
H-3451-VEE-ECAO,0,0,0,0,0,0
H3451-SME-ORCH-ECAO,0,0,0,0,0,0
H3451-SME-MUSI-ECAO,0,0,0,0,0,0
MECA31-LC1,0,0,0,0,0,0
PF-ISP31-MENU1,0,0,0,0,0,0
PF-ISP31-STAT1,0,0,0,0,0,0
PF-ISP31-CG1,0,0,0,0,0,0
PF-ISP31-PID,0,0,0,0,0,0
PF-ISP31-ANG,0,0,0,0,0,0
PF-E31-INFO,0,0,0,0,0,0
PF-E31-ANUM,0,0,0,0,0,0
PF-E31-RESEA,0,0,0,0,0,0
PF-E31-ISE,0,0,0,0,0,0
PF-E31-ANG,0,0,0,0,0,0
PF-NI32 B7_SMMA1,0,0,0,0,0,0
PF-NI32 EXPE,0,0,0,0,0,0
PF-NI41 B1_SM8,0,0,0,0,0,0
PF-II31-VISIT,0,0,0,0,0,0
PF-II31-EXPE,0,0,0,0,0,0
PF-II32-MAT,0,0,0,0,0,0
EP41-TFTR,0,0,0,0,0,0
GC31-ELAS,0,0,0,0,0,0
GMAT31-MMSN-CalSc,0,0,0,0,0,0
MECA31-PROC2,0,0,0,0,0,0
MECA31-TPPROC,0,0,0,0,0,0
MECA31-PMAT,0,0,0,0,0,0
MECA31-PROC1,0,0,0,0,0,0
MECA31-MMC,0,0,0,0,0,0
PF-ISP31-INNOV,0,0,0,0,0,0
PF-ISP31-ANG-R,0,0,0,0,0,0
PF-ISP31-APS,0,0,0,0,0,0
PF-ISP31-EXPE,0,0,0,0,0,0
PF-ISP31-TPERSO,0,0,0,0,0,0
PF-ISP32-MF2,0,0,0,0,0,0
PF-E31-GSF1,0,0,0,0,0,0
PF-E31-GSF2,0,0,0,0,0,0
PF-E31-APS,0,0,0,0,0,0
PF-E31-INDIV,0,0,0,0,0,0
PF-E31-VISIT1,0,0,0,0,0,0
PF-E31-ANG-R,0,0,0,0,0,0
PF-E31-EXPE,0,0,0,0,0,0
PF-E32-STRUCT2,0,0,0,0,0,0
PF-NI41 B2_MA3,0,0,0,0,0,0
PF-NI41 B2_MA4,0,0,0,0,0,0
PF-NI41 B2_SM3,0,0,0,0,0,0
PF-NI41 B2_SM4,0,0,0,0,0,0
PF-NI41 B3_SMMA1,0,0,0,0,0,0
PF-II32-BE1,0,0,0,0,0,0
PF-II32-PFAB,0,0,0,0,0,0
PF-II32-MF1,0,0,0,0,0,0
PF-II32-LEAN,0,0,0,0,0,0
PF-II32-GPROD,0,0,0,0,0,0
PF-II32-SEC,0,0,0,0,0,0
PF-II32-ELEC,0,0,0,0,0,0
EP41-TPTH,0,0,0,0,0,0
EP41-COMB,0,0,0,0,0,0
EP41-2PHAS 1,0,0,0,0,0,0
EP41-TMACH 1,0,0,0,0,0,0
GC31-MECA-FLU,0,0,0,0,0,0
GC31-MAT-CONSTR,0,0,0,0,0,0
GC31-METHNUM,0,0,0,0,0,0
GC31-INFORM,0,0,0,0,0,0
GC31-DESSIN-BAT,0,0,0,0,0,0
GMAT31-MMSN-AnaNum,0,0,0,0,0,0
GMAT31-MMSN-AnaFonc,0,0,0,0,0,0
GMAT31-MSRO-Proba,0,0,0,0,0,0
MECA31-CSCS1,0,0,0,0,0,0
MECA31-FLUID,0,0,0,0,0,0
