id,climate,energy,environment,resources,sustainability,dedicated,total
sciences-et-technologies-pour-l-ingenieur,1,1,1,0,1,0,1
securite-et-technologies-informatique,0,0,0,0,1,0,1
maitrise-des-risques-industriels,0,1,1,1,1,0,1
securite-et-technologies-informatiques-apprentissage,0,1,0,0,0,0,1
genie-des-systemes-industriels,0,0,0,0,2,0,2
genie-des-systemes-industriels-apprentissage,0,0,0,0,0,0,0
énergie-risques-et-environnement,0,4,2,0,3,0,4
ecole-de-la-nature-et-du-paysage,1,0,4,1,2,0,4
master,1,2,2,1,1,0,2
