id,climate,energy,environment,resources,sustainability,dedicated
INF07-PROJ-CPOO,0,0,0,0,0,0
INF07-CPOO2,0,0,0,0,0,0
DMA08-BE,0,0,0,0,0,0
DMA07-PR1,0,0,0,0,0,0
DEIF1-MOB15,0,0,0,0,0,0
DMA07-SE-ISP,0,0,0,0,0,0
DET08-MNUM,0,0,0,0,0,0
DET08-CNUM2,0,0,0,0,0,0
DET08-RES,0,0,0,0,0,0
DET08-RECH,0,0,0,0,0,0
DET08-PROJ,0,0,0,0,0,0
DET08-TSRS,0,0,0,0,0,0
DET08-SYRAD,0,0,0,0,0,0
DET08-RADIO-2,0,0,0,0,0,0
DET08-WA,0,0,0,0,0,0
DET08-MW,0,0,0,0,0,0
INF06-SECU,0,0,0,0,0,0
INF06-CHP,0,0,0,0,0,0
INF06-SD,0,0,0,0,0,0
INF06-TALEO,0,0,0,0,0,0
INFT2-IOT,0,0,0,0,0,0
INFT2-ROBO,0,0,0,0,0,0
INFT2-PM,0,0,0,0,0,0
INFT2-IAJ,0,0,0,0,0,0
INF06-CONF,0,0,0,0,0,0
INF06-EP - Etude pratique,0,0,0,0,0,0
INF06-APPR,0,0,0,0,0,0
INF06-PRED,0,0,0,0,0,0
INF06-COMPX,0,0,0,0,0,0
INF06-GA,0,0,0,0,0,0
INF06-BDWEB,0,0,0,0,0,0
DMA07-PI,0,0,0,0,0,0
DMA07-RO,0,0,0,0,0,0
DMA07-ST,0,0,0,0,0,0
DMA07-MSRS,0,0,0,0,0,0
DMA07-MSSD,0,0,0,0,0,0
DMA07-OHA,0,0,0,0,0,0
HUMF2- IE,0,0,0,0,0,0
HUMF2- RI,0,0,0,0,0,0
EII10-PFE,0,0,0,0,0,0
DMA06-MM,0,0,0,0,0,0
N09-PROJ,0,0,0,0,0,0
DET09-MOBILE,0,0,0,0,0,0
DET09-LAN-DATA,0,0,0,0,0,0
DET09-USECASE,0,0,0,0,0,0
DET09-NETLAB,0,0,0,0,0,0
DET09-PRCNUM,0,0,0,0,0,0
DET09-SYSLAB,0,0,0,0,0,0
DET09-REALTIME,0,0,0,0,0,0
DET09-SOPC,0,0,0,0,0,0
STP04-POR-LV3,0,0,0,0,0,0
STP04-JAP-LV3,0,0,0,0,0,0
STP04-ITA-LV3,0,0,0,0,0,0
STP04-CHI-LV3,0,0,0,0,0,0
STP04-ESP-LV3,0,0,0,0,0,0
STP04-ALL-LV3,0,0,0,0,0,0
STP04-RIE,0,0,0,0,0,0
STP04-SA,0,0,0,0,0,0
STP04-POR,0,0,0,0,0,0
STP04-OI,0,0,0,0,0,0
STP04-RUS,0,0,0,0,0,0
STP04-JAP,0,0,0,0,0,0
STP04-ITA,0,0,0,0,0,0
STP04-CHI,0,0,0,0,0,0
STP04-ESP,0,0,0,0,0,0
STP04-ALL,0,0,0,0,0,0
STP04-EPS,0,0,0,0,0,0
STP04-PPI,0,0,0,0,0,0
STP04-COMM,0,0,0,0,0,0
STP04-ANGL,0,0,0,0,0,0
STP04-AIE,0,0,0,0,0,0
STP04-PHYS,0,0,0,0,0,0
FIRE,0,0,0,0,0,0
STP04-ONDE,0,0,0,0,0,0
STP04-SI,0,0,0,0,0,0
STP04-CHIM,0,0,0,0,0,0
FIRE,0,0,0,0,0,0
,0,0,0,0,0,0
DET07-VHDL,0,0,0,0,0,0
DET07-CNUM1,0,0,0,0,0,0
DET07-MB,0,0,0,0,0,0
DET07-RADIO1,0,0,0,0,0,0
DET07-DETIC,0,0,0,0,0,0
DET07-RECH,0,0,0,0,0,0
DET07-CDC,0,0,0,0,0,0
DET07-DSP,0,0,0,0,0,0
DET07-ESNL,0,0,0,0,0,0
INF05-RJ2,0,0,0,0,0,0
DMA06-OD,0,0,0,0,0,0
DMA06-MRL,0,0,0,0,0,0
DMA06-OC,0,0,0,0,0,0
DMA06-SI,0,0,0,0,0,0
DMA06-Trans,0,0,0,0,0,0
EII09-PPEM,0,0,0,0,0,0
EII09-SYSC,0,0,0,0,0,0
EII09-AHD,0,0,0,0,0,0
EII09-DISPS,0,0,0,0,0,0
EII09-CONSO,0,0,0,0,0,0
EII09-PROJ,0,0,0,0,0,0
EII09-QLOG,0,0,0,0,0,0
EII09-CONF,0,0,0,0,0,0
EII09-DATA,0,0,0,0,0,0
EII09-ANIM,0,0,0,0,0,0
EII09-VIS,0,0,0,0,0,0
EII09-COTR,0,0,0,0,0,0
STP03-ITA-LV3,0,0,0,0,0,0
STP03-CHI-LV3,0,0,0,0,0,0
STP03-ESP-LV3,0,1,0,0,0,0
STP03-ALL-LV3,0,0,0,0,0,0
STP03-SA,0,0,0,0,0,0
STP03-POR,0,0,0,0,0,0
STP03-RUS,0,0,0,0,0,0
STP03-OI,0,0,0,0,0,0
